"Path","Value"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV25\Quadro4 700 XGL","1"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV25\Quadro4 750 XGL","1"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV25\Quadro4 780 XGL","1"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV25\Quadro4 900 XGL","1"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV25\Quadro4 980 XGL","1"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV30","12"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV30\Quadro FX 1000","1"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV30\Quadro FX 1000\V001_FG_A614109136","124"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV30\Quadro FX 1100","1"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV30\Quadro FX 1100\V001_FG_A614109136","124"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV30\Quadro FX 1300","1"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV30\Quadro FX 1300\V001_FG_A614109136","124"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV30\Quadro FX 1400","1"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV30\Quadro FX 1400\V001_FG_A614108426","92"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV30\Quadro FX 2000","1"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV30\Quadro FX 2000\V001_FG_A614109136","124"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV30\Quadro FX 3000","1"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV30\Quadro FX 3000\V001_FG_A614109136","124"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV30\Quadro FX 330","1"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV30\Quadro FX 330\V001_FG_A614109136","124"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV30\Quadro FX 3400","1"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV30\Quadro FX 3400\V001_FG_A614108426","8"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV30\Quadro FX 3400\V002_FG_X614116921_V715116921","264"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV30\Quadro FX 3450","1"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV30\Quadro FX 3450\V001_FG_A614108426","8"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV30\Quadro FX 3450\V002_FG_X614116921_V715116921","264"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV30\Quadro FX 500","1"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV30\Quadro FX 500\V001_FG_A614109136","124"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV30\Quadro FX 540","1"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV30\Quadro FX 540\V001_FG_A614108426","124"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV30\Quadro FX 700","1"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV30\Quadro FX 700\V001_FG_A614109136","124"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV30\Quadro FX Go1000","1"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV30\Quadro FX Go1000\V001_FG_A614109136","124"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV30\Quadro FX Go1400","1"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV30\Quadro FX Go1400\V001_FG_A614108430","72"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV30\Quadro FX Go1400\V002_FG_X614116921_V715116921","92"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV30\Quadro FX Go700","1"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV30\Quadro FX Go700\V001_FG_A614109136","124"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40","12"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\A40","205832"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\A40\V001_FG_V2221138541","205832"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\GRID A40-12Q","205832"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\GRID A40-12Q\V001_FG_V2221138541","205832"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\GRID A40-16Q","205832"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\GRID A40-16Q\V001_FG_V2221138541","205832"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\GRID A40-1Q","205832"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\GRID A40-1Q\V001_FG_V2221138541","205832"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\GRID A40-24Q","205832"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\GRID A40-24Q\V001_FG_V2221138541","205832"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\GRID A40-2Q","205832"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\GRID A40-2Q\V001_FG_V2221138541","205832"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\GRID A40-48Q","205832"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\GRID A40-48Q\V001_FG_V2221138541","205832"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\GRID A40-4Q","205832"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\GRID A40-4Q\V001_FG_V2221138541","205832"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\GRID A40-8Q","205832"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\GRID A40-8Q\V001_FG_V2221138541","205832"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\GRID K","65544"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\GRID M10-0Q","65544"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\GRID M10-1Q","131080"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\GRID M10-2Q","197640"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\GRID M10-2Q\V001_FG_V2221138541","205832"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\GRID M10-4Q","197640"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\GRID M10-4Q\V001_FG_V2221138541","205832"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\GRID M10-8Q","201736"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\GRID M10-8Q\V001_FG_V2221138541","209928"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\GRID M6-0Q","65544"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\GRID M6-1Q","131080"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\GRID M6-2Q","197640"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\GRID M6-2Q\V001_FG_V2221138541","205832"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\GRID M6-4Q","197640"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\GRID M6-4Q\V001_FG_V2221138541","205832"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\GRID M6-8Q","201736"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\GRID M6-8Q\V001_FG_V2221138541","209928"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\GRID M60-0Q","65544"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\GRID M60-1Q","131080"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\GRID M60-2Q","197640"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\GRID M60-2Q\V001_FG_V2221138541","205832"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\GRID M60-4Q","197640"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\GRID M60-4Q\V001_FG_V2221138541","205832"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\GRID M60-8Q","201736"
"Microsoft.PowerShell.Core\Registry::HKEY_CURRENT_USER\SOFTWARE\SolidWorks\AllowList\Gl2Shaders\NV40\GRID M60-8Q\V001_FG_V2221138541","209928"
